,news_headline,news_article,news_category
0,Elon Musk becomes world's 1st person to cross $300 billion net worth,tesla ceo elon musk become worlds first person cross net worth 300 billion teslas shares surged week fortune hit mark thursday currently 311 billion according bloomberg billionaires index worlds second richest person jeff bezos net worth 100 billion less musks,technology
1,"Hebrew speakers mock Facebook's new name 'Meta', say it means 'dead'",social media users israel mocking facebooks new company name meta claiming sounds similar dead hebrew language several twitter users pointed tweets hashtag facebookdead one tweeting thank providing hebrew speakers good reason laugh another tweet read somebody didnt branding research,technology
2,Boston Dynamics robot dog mimics Stones' Mick Jagger's dance moves,boston dynamics released video quadrupedal robot spot dancing rolling stones 1981 hit start shows quartet spot robots mimicking bands performance song well lead vocalist mick jaggers dance moves video released honour 40th anniversary bands album tattoo,technology
3,Who is Indian-American Raja Chari who'll command NASA's SpaceX mission next week?,indianamerican astronaut raja chari take first spaceflight next week commander nasas spacex crew3 mission iss 44yearold previously served colonel select us air force accumulated 2000 hours flight time f35 f15 others selected train nasa astronaut 2017,technology
4,"If UN can tell how $6 bn will solve world hunger, I'll do it right now: Musk",tesla ceo elon musk said uns world food programme wfp tell 6 billion solve world hunger hell sell tesla stock right comes wfps director quoted saying 2 musks wealth could solve world hunger musk currently worlds richest person 311 billion wealth,technology
5,WhatsApp to no longer support Android phones with OS 4.0.4 & older from Nov 1,whatsapp longer support android phones running os 404 older november 1 2021 decision earlier announced chat app comes effect tomorrow please switch supported device save chat history whatsapps faq page says whatsapp iphone requires ios 10 newer version ios,technology
6,Elon Musk with $300 billion net worth becomes wealthier than entire GDP of Pakistan,worlds richest person tesla ceo elon musk become wealthier entire gdp pakistan around 280 billion musk saturday became first person cross net worth 300 billion teslas shares surged week earlier week tesla surpassed market capitalisation 1 trillion,technology
7,"Mumbai Police shares meme on Facebook name change, says, 'MET-A citizen with no mask'",facebook changed company name meta mumbai police saturday shared meme read meta citizen without mask tell safe may need face book law violation accountofsafety police department tweeted along meme,technology
8,"Bill Gates celebrates his 66th birthday with Jeff Bezos, others in Turkey: Report",microsoft cofounder bill gates turned 66 october 28 reportedly celebrated birthday amazon founder jeff bezos others throwing private birthday party turkish cove near bodrum bezos escorted gates megayacht lana secluded cove helicopter gates vacationing along turkeys coast visited bodrum last week,technology
9,"Reliance Jio declines AGR dues moratorium, becomes only telco to do so: Report",reliance jio reportedly said wont opt governments fouryear moratorium spectrum adjusted gross revenue agr payments becoming telecom company earlier bharti airtel vodafone idea vi accepted forms moratorium relief package thursday reliance jio paid 10792 crore spectrum dues government,technology
10,"Tesla recalls 2,800 vehicles in US over crash concerns",tesla recalling nearly 2800 model 3 model vehicles suspension issue could increase risk crashes issue related fasteners front suspension could shift wheel alignment make vehicle unstable us nhtsa report said abnormal noise may occur detectable customer fromfront suspension,technology
